dataset	approach	fold	prefix_length	metric	value
Helpdesk	Tax	fold_0	6	Accuracy	0.0
Helpdesk	Tax	fold_0	6	Recall	0.0
Helpdesk	Tax	fold_0	6	Precision	0.0
Helpdesk	Tax	fold_0	6	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	6	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	7	Accuracy	0.0
Helpdesk	Tax	fold_0	7	Recall	0.0
Helpdesk	Tax	fold_0	7	Precision	0.0
Helpdesk	Tax	fold_0	7	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	7	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_1	2	Accuracy	0.5024027959807776
Helpdesk	Tax	fold_1	2	Recall	0.0932684509326845
Helpdesk	Tax	fold_1	2	Precision	0.06686435257863829
Helpdesk	Tax	fold_1	2	F1 - Score(macro)	0.07788953232415592
Helpdesk	Tax	fold_1	2	F1 - Score(micro)	0.5024027959807776
Helpdesk	Tax	fold_1	3	Accuracy	0.10750119445771619
Helpdesk	Tax	fold_1	3	Recall	0.04120879120879121
Helpdesk	Tax	fold_1	3	Precision	0.029335071707953065
Helpdesk	Tax	fold_1	3	F1 - Score(macro)	0.03427265803503427
Helpdesk	Tax	fold_1	3	F1 - Score(micro)	0.10750119445771619
Helpdesk	Tax	fold_1	4	Accuracy	0.10723192019950124
Helpdesk	Tax	fold_1	4	Recall	0.05308641975308642
Helpdesk	Tax	fold_1	4	Precision	0.030824372759856628
Helpdesk	Tax	fold_1	4	F1 - Score(macro)	0.039002267573696146
Helpdesk	Tax	fold_1	4	F1 - Score(micro)	0.10723192019950124
Helpdesk	Tax	fold_1	5	Accuracy	0.1232876712328767
Helpdesk	Tax	fold_1	5	Recall	0.08333333333333333
Helpdesk	Tax	fold_1	5	Precision	0.046875
Helpdesk	Tax	fold_1	5	F1 - Score(macro)	0.06
Helpdesk	Tax	fold_1	5	F1 - Score(micro)	0.1232876712328767
